"EX-1.1000.000","Exportación Definitiva, Exportación Definitiva, Régimen Común"
"EX-3.3056.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3056.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3056.072","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Decreto 738 Eléctricos e Híbridos"
"EX-3.3057.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Régimen Común"
"EX-3.3057.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3057.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3058.033","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Centro Internacional de llamadas (Call Center)"
"EX-3.3058.036","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
"EX-3.3058.037","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Aeronaves LSI"
"EX-3.3058.043","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Contenedores LSI"
"EX-3.3059.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Régimen Común"
"EX-3.3059.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3059.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3070.000","Re-Exportación, Reexportación Proveniente de Depósito., Régimen Común"
"EX-3.3070.072","Re-Exportación, Reexportación Proveniente de Depósito., Decreto 738 Eléctricos e Híbridos"
"EX-2.2400.000","Traslados Definitivos"
"EX-3.3071.000","Reexp. Prov. de Deposito"
"EX-3.3052.000","Reexp. Prov de Adm Temp. para Perfeccionamiento Activo"
"EX-3.3054.000","Reexp. Prov. de Régimen de Zona Franca"
"EX-3.3055.000","Reexp. Prov. de Adm.Temporal para Perfeccionamiento Activo con Garantía"
"EX-3.3056.000","Re-Exp. Prov.de Adm.Temporal Ley de Servi. Internacionales"
"EX-3.3057.000","Reexportación Prov. de Centro de Servicio LSI"
